"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"9","GTD","Zacharie Robichon","8","1:55.234","47:35.526","Green","Track","14.122","11.562","5.767","11.922","8.183","2.075","0.594","9.054","18.752","20.124","7.434","5.645","137.741"
"3","GTLM","Antonio Garcia","15","7:43.672","47:41.297","Green","Track","359.941","12.078","5.984","11.461","8.260","2.133","0.666","10.233","19.216","20.685","7.404","5.611","122.850"
"73","GTD","Marco Seefried","19","1:41.475","47:42.606","Green","Track","4.856","8.717","5.257","10.488","7.931","2.030","0.598","10.020","19.254","19.577","7.507","5.240","136.820"
"24","GTLM","Jesse Krohn","16","4:09.301","47:43.159","Green","Pit","4.681","8.575","5.024","15.405","9.993","2.080","0.596","8.762","18.736","19.077","7.934","148.438","137.279"
"44","GTD","John Potter","8","1:45.371","47:44.821","Green","Track","5.253","9.433","5.340","10.664","8.070","2.047","0.571","9.918","19.420","21.142","7.928","5.585","143.289"
"52","LMP2","Matthew McMurry","3","1:43.624","47:51.671","Green","Track","5.438","9.652","5.518","10.856","7.814","1.938","0.573","9.654","19.608","19.366","7.354","5.853","142.789"
"5","DPi","Filipe Albuquerque","9","1:44.787","47:52.800","Green","Pit","4.738","8.014","4.852","9.992","7.100","1.819","0.507","8.523","17.703","21.098","9.601","10.840","161.377"
"48","GTD","Ryan Hardwick","15","1:44.670","47:59.126","Green","Track","5.044","9.487","5.038","10.904","8.033","2.040","0.560","9.409","20.111","20.475","7.803","5.766","146.104"
"4","GTLM","Tommy Milner","17","1:40.770","48:01.021","Green","Track","4.967","8.933","5.323","10.440","7.921","1.992","0.551","9.229","18.724","19.400","7.648","5.642","148.490"
"67","GTLM","Richard Westbrook","16","1:38.734","48:06.415","Green","Track","4.899","8.986","5.018","9.937","7.775","1.980","0.551","8.936","18.213","19.262","7.405","5.772","148.490"
"57","GTD","Christina Nielsen","16","1:42.957","48:12.752","Green","Track","5.092","9.112","4.961","10.348","7.882","2.013","0.546","9.849","19.546","20.088","7.882","5.638","149.850"
"85","DPi","Misha Goikhberg","20","1:34.290","48:13.594","Green","Track","4.444","8.060","4.523","9.480","7.122","1.831","0.493","9.271","17.593","18.424","7.365","5.684","165.960"
"12","GTD","Frank Montecalvo","18","1:39.900","48:16.109","Green","Track","4.872","8.589","4.749","10.171","7.959","2.025","0.542","8.815","19.312","19.441","7.681","5.744","150.956"
"912","GTLM","Laurens Vanthoor","16","1:35.894","48:29.296","Green","Track","4.843","8.577","5.084","9.769","7.673","1.966","0.561","8.907","17.262","18.659","7.417","5.176","145.843"
"77","DPi","Oliver Jarvis","19","1:46.685","48:31.019","Green","Track","13.787","10.695","5.355","10.109","7.107","1.887","0.595","8.983","17.516","18.275","7.238","5.138","137.510"
"63","GTD","Cooper MacNeil","17","3:57.278","48:32.819","Green","Pit","5.260","9.434","5.297","10.798","7.948","2.026","0.570","9.784","20.553","21.627","9.404","134.577","143.541"
